MID,PMID,Journal_name,JIF,Conclusion,Model_Name,Model_Type,AUC_value,AUC,Specificity,Sensitivity,Accuracy,Research_Type,Involved_Factors,Year,Year_value,Area,Country,Cancer_Type,Abstract
99,8003106,J Natl Cancer Inst,9.9,"Overall, the Gail et al. model accurately predicts risk in women with a family history of breast cancer and who adhere to American Cancer Society screening guidelines. Thus, the model should be used as it was intended, for women who receive annual mammograms.",Gail_1981,Logistic Regression,,,,,,validation,"Age,age At Merche,no. Of Biopsies,age At First Live Birth,no. Of Affected First-degree Relatives",,1994,America,USA,Breast Cancer,"Background: Gail et al. developed a statistical model for estimating the risk of developing breast cancer in white women screened annually with mammography. This model is used for counseling and for admission to clinical trials.
Purpose: We evaluated the model prospectively in a cohort of women with a family history of breast cancer.
Methods: We followed women who participated in the American Cancer Society 1987 Texas Breast Screening Project. The model was evaluated by comparing the observed (O) and expected (E) numbers of breast cancers using composite background rates from both the Breast Cancer Detection and Demonstration Project and the Surveillance, Epidemiology, and End Results program of the National Cancer Institute. Data were partitioned by adherence to American Cancer Society screening guidelines.
Results: The Gail et al. model predicted the risk well among women who adhered to the American Cancer Society guidelines (O/E = 1.12; 95% confidence interval = 0.75-1.61) but overpredicted risk for women who did not adhere to the guidelines. There was an indication that the model overpredicted risk for women younger than 60 years old and underpredicted risk in women aged 60 years and older.
Conclusions: Overall, the Gail et al. model accurately predicts risk in women with a family history of breast cancer and who adhere to American Cancer Society screening guidelines. Thus, the model should be used as it was intended, for women who receive annual mammograms."
100,2324782,J Clin Epidemiol,7.3,This indicates that the 5 variables considered did not allow identification of subgroups with substantially elevated risk of breast cancer to have practical implications for screening/prophylactic treatment purposes.,Negri_4021,Logistic Regression,,,,,,development,"Age At Merche,age At Menopause,age At First Birth,family History Of Breast Cancer,body Mass Index)",,1990,Europe,Italy,Breast Cancer,"In order to identify high risk groups for breast cancer, unconditional multiple logistic regression models based on 5 widely recognized and easily identifiable risk factors (age at menarche, at menopause and at first birth, family history of breast cancer and body mass index) were applied to a large dataset including 2085 cases and 1936 controls aged 50 or over derived from two unmatched hospital-based case-control studies conducted in Italy. Although various models provided an excellent fitting, both on the whole dataset and using a training-testing approach to a priori identified separate subset, the observed extent of variation in breast cancer risk between highest and lowest decile of the distribution was limited to a factor 2. This indicates that the 5 variables considered did not allow identification of subgroups with substantially elevated risk of breast cancer to have practical implications for screening/prophylactic treatment purposes."
101,29450667,Cancer Causes Control,2.2,"A multivariable model using data from the electronic health record was able to stratify women across a 50-fold gradient of risk for CIN2+. After further validation, use of a similar model could enable more targeted cervical cancer screening.",Rothberg_99319,Hierarchical Generalized Linear Regression Modeling,0.81,more than 0.8,,,,development,"Age,race,marital Status,insurance Type,smoking History,median Income Based On Zip Code,prior Human Papilloma Virus (hpv) Results",in recent 10 years,2018,America,USA,Cervical Cancer,"Importance: Cervical cancer screening guidelines are in evolution. Current guidelines do not differentiate recommendations based on individual patient risk.
Objective: To derive and validate a tool for predicting individualized probability of cervical intraepithelial neoplasia grade 2 or higher (CIN2+) at a single time point, based on demographic factors and medical history.
Design: The study design consisted of an observational cohort with hierarchical generalized linear regression modeling.
Setting: The study was conducted in a setting of 33 primary care practices from 2004 to 2010.
Participants: The participants of the study were women aged 鈮 30 years.
Main outcome and measures: CIN2+ was the main outcome on biopsy, and the following predictors were included: age, race, marital status, insurance type, smoking history, median income based on zip code, prior human papilloma virus (HPV) results.
Results: The final dataset included 99,319 women. Of these, 745 (0.75%) had CIN2+. The multivariable model had a C-statistic of 0.81. All factors but race were independently associated with CIN2+. The model categorized women as having below-average CIN2+ risk (0.15% predicted vs. 0.12% observed risk), average CIN2+ risk (0.42% predicted vs. 0.36% observed), and above-average CIN2+ risk (1.76% predicted vs. 1.85% observed). Before screening, women at below-average risk had a risk of CIN2+ well below that of women with ASCUS and HPV negative (0.12 vs. 0.20%).
Conclusions and relevance: A multivariable model using data from the electronic health record was able to stratify women across a 50-fold gradient of risk for CIN2+. After further validation, use of a similar model could enable more targeted cervical cancer screening."
102,22965284,Int J Cancer,5.7,Our analysis supports the assertion that conducting a population-based HPV survey targeting women over age 35 can be valuable in approximating the CC risk in a given country.,Sharma_76,Multivariate Linear Regression,,,,,,development,"Human Papilloma Virus (hpv) Prevalence,geographic Region ,",,2013,America,USA,Cervical Cancer,"Knowledge of a country's cervical cancer (CC) burden is critical to informing decisions about resource allocation to combat the disease; however, many countries lack cancer registries to provide such data. We developed a prognostic model to estimate CC incidence rates in countries without cancer registries, leveraging information on human papilloma virus (HPV) prevalence, screening, and other country-level factors. We used multivariate linear regression models to identify predictors of CC incidence in 40 countries. We extracted age-specific HPV prevalence (10-year age groups) by country from a meta-analysis in women with normal cytology (N = 40) and matched to most recent CC incidence rates from Cancer Incidence in Five Continents when available (N = 36), or Globocan 2008 (N = 4). We evaluated country-level behavioral, economic, and public health indicators. CC incidence was significantly associated with age-specific HPV prevalence in women aged 35-64 (adjusted R-squared 0.41) (""base model""). Adding geographic region to the base model increased the adjusted R-squared to 0.77, but the further addition of screening was not statistically significant. Similarly, country-level macro-indicators did not improve predictive validity. Age-specific HPV prevalence at older ages was found to be a better predictor of CC incidence than prevalence in women under 35. However, HPV prevalence could not explain the entire CC burden as many factors modify women's risk of progression to cancer. Geographic region seemed to serve as a proxy for these country-level indicators. Our analysis supports the assertion that conducting a population-based HPV survey targeting women over age 35 can be valuable in approximating the CC risk in a given country."
103,30403965,Gastrointest Endosc,6.7,"The application of DNNs to big clinical data could significantly improve the prediction of ACRNs compared with the LR model, implying the potential for realizing further improvements using large quantities and various types of biomedical information.",Yang_LR,Logistic Regression,0.84,more than 0.8,,,,development,"Age,sex,smoking Status,family History Of Crc,body Mass Index,serum Levels Of Fasting Glucose,low Density Lipoprotein-cholesterol,carcinoembryonic Antigen",in recent 10 years,2018,Asia,Korea,Colorectal Cancer,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/our-business/policies/article-withdrawal.
104,30403965,Gastrointest Endosc,6.7,"The application of DNNs to big clinical data could significantly improve the prediction of ACRNs compared with the LR model, implying the potential for realizing further improvements using large quantities and various types of biomedical information.",Yang_DNN(9),Other,,,,,,development,"Age,sex,smoking Status,family History Of Crc,body Mass Index,serum Levels Of Fasting Glucose,low Density Lipoprotein-cholesterol,carcinoembryonic Antigen",in recent 10 years,2018,Asia,Korea,Colorectal Cancer,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/our-business/policies/article-withdrawal.
105,30403965,Gastrointest Endosc,6.7,"The application of DNNs to big clinical data could significantly improve the prediction of ACRNs compared with the LR model, implying the potential for realizing further improvements using large quantities and various types of biomedical information.",Yang_DNN(26),Other,,,,,,development,"Age,sex,smoking Status,complete Blood Count,body Mass Index,blood Chemistry,tumor Marker",in recent 10 years,2018,Asia,Korea,Colorectal Cancer,This article has been withdrawn at the request of the author(s) and/or editor. The Publisher apologizes for any inconvenience this may cause. The full Elsevier Policy on Article Withdrawal can be found at https://www.elsevier.com/about/our-business/policies/article-withdrawal.
106,29510145,Gastrointest Endosc,6.7,"If the clinical risk score is > and =  points (persons with smoking history or obese men), early colonoscopy may be recommended, even with no family history of CRC. Additionally, FIT may be an appropriate initial screening modality for average-risk individuals if the clinical risk score is 0 to 1.",Park_34658,Logistic Regression,,,,,,development,"Age,male Sex,smoking,obesity",in recent 10 years,2018,Asia,Korea,Colorectal Cancer,"Background and aims: Individuals without a family history of colorectal cancer (CRC) are screened uniformly despite interpersonal risk. To assess individual risk, we examined the age-specific prevalence of advanced colorectal neoplasia (ACRN) according to clinical risk factors and fecal immunochemical test (FIT) results.
Methods: Participants without a family history of CRC who underwent screening colonoscopies and FITs were included. Clinical risk factors for ACRN were identified by using a logistic regression model. Point scores were assigned to each associated factor based on a regression coefficient.
Results: A total of 34,658 participants were included. Age, male sex, smoking, and obesity were identified as risk factors. One-, 2-, and 1-point scores were assigned to male sex, smoking, and obesity, respectively. The prevalence of ACRN in individuals with 0, 1, and 鈮2 risk score points was 1.4%, 1.6%, and 2.9% among those aged 50 to 51 years and 3.1%, 5.5%, and 7.5% among those aged 鈮66 years, respectively. Among FIT-positive individuals, the prevalence of ACRN was 11.0% and 21.2% in those aged between 50 and 51 years and those aged 鈮66 years, respectively. Among FIT-negative individuals with 鈮2 risk score points, the prevalence of ACRN was 2.5% and 6.0% among those aged 50 to 51 years and those aged 鈮66 years, respectively.
Conclusion: If the clinical risk score is 鈮2 points (persons with smoking history or obese men), early colonoscopy may be recommended, even with no family history of CRC. Additionally, FIT may be an appropriate initial screening modality for average-risk individuals if the clinical risk score is 0 to 1."
107,29718843,Medicine (Baltimore),1.3,A risk prediction model for CRC based on a series of symptoms and signs related to enteric diseases in combination with a FIT was developed from first round of screening. The results of the current study are useful for increasing the awareness of high-risk subjects and for individual-risk-guided invitations or strategies to achieve mass screening for CRC.,Li_891199,Logistic Regression,,,,,,development,"Age,sex,education Level,occupations,diarrhea,constipation,colon Mucosa And Bleeding,gallbladder Disease,a Stressful Life Event,family History Of Crc,a Positive Fecal Immunochemical Test (fit)",in recent 10 years,2018,Asia,China,Colorectal Cancer,"We aimed to predict colorectal cancer (CRC) based on the demographic features and clinical correlates of personal symptoms and signs from Tianjin community-based CRC screening data.A total of 891,199 residents who were aged 60 to 74 and were screened in 2012 were enrolled. The Lasso logistic regression model was used to identify the predictors for CRC. Predictive validity was assessed by the receiver operating characteristic (ROC) curve. Bootstrapping method was also performed to validate this prediction model.CRC was best predicted by a model that included age, sex, education level, occupations, diarrhea, constipation, colon mucosa and bleeding, gallbladder disease, a stressful life event, family history of CRC, and a positive fecal immunochemical test (FIT). The area under curve (AUC) for the questionnaire with a FIT was 84% (95% CI: 82%-86%), followed by 76% (95% CI: 74%-79%) for a FIT alone, and 73% (95% CI: 71%-76%) for the questionnaire alone. With 500 bootstrap replications, the estimated optimism (<0.005) shows good discrimination in validation of prediction model.A risk prediction model for CRC based on a series of symptoms and signs related to enteric diseases in combination with a FIT was developed from first round of screening. The results of the current study are useful for increasing the awareness of high-risk subjects and for individual-risk-guided invitations or strategies to achieve mass screening for CRC."
108,29096402,Br J Cancer,6.4,Combining routinely available risk predictors with the FIT improves the clinical sensitivity of the FIT with an increase in the diagnostic yield of high-risk adenomas.,Cooper_1810,"Logistic Regression,feedforward Neural Network",0.659,,0.8469,0.3315,,development,"Age,sex,previous Screening History,faecal Immunochemical Test (fit) Result",in recent 10 years,2018,Europe,UK,Colorectal Cancer,"Background: The faecal immunochemical test (FIT) is replacing the guaiac faecal occult blood test in colorectal cancer screening. Increased uptake and FIT positivity will challenge colonoscopy services. We developed a risk prediction model combining routine screening data with FIT concentration to improve the accuracy of screening referrals.
Methods: Multivariate analysis used complete cases of those with a positive FIT (猢20 渭g g-1) and diagnostic outcome (n=1810; 549 cancers and advanced adenomas). Logistic regression was used to develop a risk prediction model using the FIT result and screening data: age, sex and previous screening history. The model was developed further using a feedforward neural network. Model performance was assessed by discrimination and calibration, and test accuracy was investigated using clinical sensitivity, specificity and receiver operating characteristic curves.
Results: Discrimination improved from 0.628 with just FIT to 0.659 with the risk-adjusted model (P=0.01). Calibration using the Hosmer-Lemeshow test was 0.90 for the risk-adjusted model. The sensitivity improved from 30.78% to 33.15% at similar specificity (FIT threshold of 160 渭g g-1). The neural network further improved model performance and test accuracy.
Conclusions: Combining routinely available risk predictors with the FIT improves the clinical sensitivity of the FIT with an increase in the diagnostic yield of high-risk adenomas."
109,29645077,Cancer,6.1,"In low-resource settings, patients with rectal bleeding, weight loss, and changes in bowel habits should be classified as high risk for CRC. Patients with a high risk score should be prioritized for colonoscopy to increase the number of patients diagnosed with potentially curable CRC. Cancer 2018;124:2766-2773. ? 2018 American Cancer Society.",Alatise_362,Logistic Regression,0.875,more than 0.8,0.83,0.89,,development,"Weight Loss,change In Bowel Habits",in recent 10 years,2018,Africa,Nigeria,Colorectal Cancer,"Background: Colorectal cancer (CRC) rates in low-resource countries, which typically lack CRC screening programs, are rising. This study determined whether a risk model for patients with rectal bleeding could identify patients with curable CRC.
Methods: This prospective, cross-sectional study evaluated a model constructed from data from 1 hospital and validated at 2 other hospitals. The primary endpoint was the ability of the model to predict CRC, as diagnosed by colonoscopy, from clinical characteristics. The secondary endpoint was to determine the percentage of patients who had CRC.
Results: Consecutive patients who were 45 years old or older and had self-reported rectal bleeding for more than 1 week were evaluated. From January 2014 to July 2016, 362 patients answered a questionnaire and underwent colonoscopy. In the validation cohort, 56% of patients with rectal bleeding, weight loss, and changes in bowel habits had CRC, whereas 2% of patients with bleeding alone did. Overall, 18.2% of the patients had CRC, and 8.6% had adenomas. The proportion of CRC patients with potentially curable stage II or III disease was 74%, whereas the historical rate was 36%. The combination of rectal bleeding with both symptoms significantly predicted CRC in the validation set (odds ratio, 12.8; 95% confidence interval, 4.6-35.4; P < .001).
Conclusions: In low-resource settings, patients with rectal bleeding, weight loss, and changes in bowel habits should be classified as high risk for CRC. Patients with a high risk score should be prioritized for colonoscopy to increase the number of patients diagnosed with potentially curable CRC. Cancer 2018;124:2766-2773. 漏 2018 American Cancer Society."
110,28700744,PLoS One,2.9,"Individual hypermethylated DNA promoter regions have limited value as CRC screening markers. However, a panel of seven hypermethylated promoter regions show great promise as a model for CRC detection.",Rasmussen_295,Logistic Regression,0.887,more than 0.8,0.725,0.907,,development,"Alx4,bmp3,nptx2,rarb,sdc2,9-sep,vim",in recent 10 years,2017,Europe,Denmark,Colorectal Cancer,"Background: Colorectal cancer (CRC) is one of the most common cancers in the western world. Screening is an efficient method of reducing cancer-related mortality. Molecular biomarkers for cancer in general and CRC in particular have been proposed, and hypermethylated DNA from stool or blood samples are already implemented as biomarkers for CRC screening. We aimed to evaluate the performance of proven hypermethylated DNA promoter regions as plasma based biomarkers for CRC detection.
Methods: We conducted a cross-sectional case-control study of 193 CRC patients and 102 colonoscopy-verified healthy controls. Using methylation specific polymerase chain reaction, we evaluated 30 DNA promoter regions previously found to be CRC specific. We used multivariable logistic regression with stepwise backwards selection, and subsequent leave-pair-out cross validation, to calculate the optimism corrected area under the receiver operating characteristics curve (AUC) for all stage as well as early stage CRC.
Results: None of the individual DNA promoter regions provided an overall sensitivity above 30% at a reasonable specificity. However, seven hypermethylated promoter regions (ALX4, BMP3, NPTX2, RARB, SDC2, SEPT9, and VIM) along with the covariates sex and age yielded an optimism corrected AUC of 0.86 for all stage CRC and 0.85 for early stage CRC. Overall sensitivity for CRC detection was 90.7% at 72.5% specificity using a cut point value of 0.5.
Conclusions: Individual hypermethylated DNA promoter regions have limited value as CRC screening markers. However, a panel of seven hypermethylated promoter regions show great promise as a model for CRC detection."
111,28179577,Oncotarget,,Our predictive model can aid early detection of colorectal cancer and has potential as a novel screening test for cases of colorectal cancer that do not involve lymph node or distant metastasis.,Nishiumi_573,Logistic Regression,0.996,more than 0.8,0.938,0.993,,development,"Age,gender,smoking Status,alcohol Status,29 Metabolites(table 2)",in recent 10 years,2017,Asia,Japan,Colorectal Cancer,"In developed countries, the number of patients with colorectal cancer has been increasing, and colorectal cancer is one of the most common causes of cancer death. To improve the quality of life of colorectal cancer patients, it is necessary to establish novel screening methods that would allow early detection of colorectal cancer. We performed metabolome analysis of a plasma sample set from 282 stage 0/I/II colorectal cancer patients and 291 healthy volunteers using gas chromatography/triple-quadrupole mass spectrometry in an attempt to identify metabolite biomarkers of stage 0/I/II colorectal cancer. The colorectal cancer patients included patients with stage 0 (N=79), I (N=80), and II (N=123) in whom invasion and metastasis were absent. Our analytical system detected 64 metabolites in the plasma samples, and the levels of 29 metabolites differed significantly (Bonferroni-corrected p=0.000781) between the patients and healthy volunteers. Based on these results, a multiple logistic regression analysis of various metabolite biomarkers was carried out, and a stage 0/I/II colorectal cancer prediction model was established. The area under the curve, sensitivity, and specificity values of this model for detecting stage 0/I/II colorectal cancer were 0.996, 99.3%, and 93.8%, respectively. The model's sensitivity and specificity values for each disease stage were >90%, and surprisingly, its sensitivity for stage 0, specificity for stage 0, and sensitivity for stage II disease were all 100%. Our predictive model can aid early detection of colorectal cancer and has potential as a novel screening test for cases of colorectal cancer that do not involve lymph node or distant metastasis."
112,28612367,Environ Mol Mutagen,2.3,"These findings indicate that rs10845671 may contribute to the susceptibility to colorectal cancer and be a candidate biomarker for colorectal cancer risk prediction. Environ. Mol. Mutagen. 58:434-442, 2017.",Jin_1678,Logistic Regression,,,,,,development,"Age,gender,body Mass Index,family History Of Cancer,smoking,alcohol Drinking,tea Drinking,tagsnp(rs10845671)",in recent 10 years,2017,Asia,China,Colorectal Cancer,"There is a widespread occurrence of antisense transcripts' regulation on cancer-related genes in cancer biology. RP11-392P7.6 is antisense to the coding region of cancer-related gene GPRC5D, which has been found recently. The aim of this study was to investigate the associations of tagSNPs in the promoter region of RP11-392P7.6 with the risk of colorectal cancer. We conducted a two-stage case-control study, with a discovery set (320 cases and 319 controls) and a validation set (501 cases and 538 controls). Four tagSNPs (rs1531970, rs1642199, rs4763903, and rs10845671) were selected based on 1000 Genomes Project data and genotyped by using the Sequenom MassARRAY genotyping platform. In the discovery set, three tagSNPs (rs1642199, rs4763903, and rs10845671) were revealed promising associations with the risk of colorectal cancer, among which the rs10845671 variants were further replicated in the validation set (OR = 1.47, 95% CI = 1.10-1.20 in heterozygote codominant model; OR = 1.38, 95% CI = 1.04-1.83 in dominant model). When combined the two sets, the above positive associations remained unchanged. Rs10845671 was found to be associated with an increased risk of colorectal cancer (OR = 1.43, 95% CI = 1.14-1.81 in heterozygote codominant model; OR = 1.35, 95% CI = 1.08-1.69 in dominant model). These findings indicate that rs10845671 may contribute to the susceptibility to colorectal cancer and be a candidate biomarker for colorectal cancer risk prediction. Environ. Mol. Mutagen. 58:434-442, 2017. 漏 2017 Wiley Periodicals, Inc."
113,28849422,J Cancer Res Clin Oncol,2.7,"We constructed a more efficient CRC risk prediction model with 11 SNPs including newly identified East Asian-based GWAS SNPs (rs704017, rs11196172, rs10774214, rs647161, rs2423279). Risk grouping based on 11 SNPs depicted lifetime difference of CRC risk. This might be useful for effective individualized prevention for East Asian.",CRC risk prediction model,Logistic Regression,0.6392,,,,,development and validation,"Sex,age,smoking,daily Ethanol Consumption,current Body Mass Index,regular Exercise,family History Of Crc,referral Pattern To Our Hospital,polygenic Risk Scores(rs6983267, Rs4779584, Rs4444235,rs9929218,rs10936599,rs16969681,rs704017,rs11196172, Rs10774214, Rs647161, Rs2423279)",in recent 10 years,2017,Asia,Japan,Colorectal Cancer,"Background: Little is known about the difference of genetic predisposition for CRC between ethnicities; however, many genetic traits common to colorectal cancer have been identified. This study investigated whether more SNPs identified in GWAS in East Asian population could improve the risk prediction of Japanese and explored possible application of genetic risk groups as an instrument of the risk communication.
Methods: 558 Patients histologically verified colorectal cancer and 1116 first-visit outpatients were included for derivation study, and 547 cases and 547 controls were for replication study. Among each population, we evaluated prediction models for the risk of CRC that combined the genetic risk group based on SNPs from GWASs in European-population and a similarly developed model adding SNPs from GWASs in East Asian-population. We examined whether adding East Asian-specific SNPs would improve the discrimination.
Results: Six SNPs (rs6983267, rs4779584, rs4444235, rs9929218, rs10936599, rs16969681) from 23 SNPs by European-based GWAS and five SNPs (rs704017, rs11196172, rs10774214, rs647161, rs2423279) among ten SNPs by Asian-based GWAS were selected in CRC risk prediction model. Compared with a 6-SNP-based model, an 11-SNP model including Asian GWAS-SNPs showed improved discrimination capacity in Receiver operator characteristic analysis. A model with 11 SNPs resulted in statistically significant improvement in both derivation (P = 0.0039) and replication studies (P = 0.0018) compared with six SNP model. We estimated cumulative risk of CRC by using genetic risk group based on 11 SNPs and found that the cumulative risk at age 80 is approximately 13% in the high-risk group while 6% in the low-risk group.
Conclusion: We constructed a more efficient CRC risk prediction model with 11 SNPs including newly identified East Asian-based GWAS SNPs (rs704017, rs11196172, rs10774214, rs647161, rs2423279). Risk grouping based on 11 SNPs depicted lifetime difference of CRC risk. This might be useful for effective individualized prevention for East Asian."
114,28849422,J Cancer Res Clin Oncol,2.7,"We constructed a more efficient CRC risk prediction model with 11 SNPs including newly identified East Asian-based GWAS SNPs (rs704017, rs11196172, rs10774214, rs647161, rs2423279). Risk grouping based on 11 SNPs depicted lifetime difference of CRC risk. This might be useful for effective individualized prevention for East Asian.",CRC risk prediction model,Logistic Regression,0.5695,,,,,validation,"Sex,age,smoking,daily Ethanol Consumption,current Body Mass Index,regular Exercise,family History Of Crc,referral Pattern To Our Hospital,polygenic Risk Scores(rs6983267, Rs4779584, Rs4444235,rs9929218,rs10936599,rs16969681,rs704017,rs11196172, Rs10774214, Rs647161, Rs2423279)",in recent 10 years,2017,Asia,Japan,Colorectal Cancer,"Background: Little is known about the difference of genetic predisposition for CRC between ethnicities; however, many genetic traits common to colorectal cancer have been identified. This study investigated whether more SNPs identified in GWAS in East Asian population could improve the risk prediction of Japanese and explored possible application of genetic risk groups as an instrument of the risk communication.
Methods: 558 Patients histologically verified colorectal cancer and 1116 first-visit outpatients were included for derivation study, and 547 cases and 547 controls were for replication study. Among each population, we evaluated prediction models for the risk of CRC that combined the genetic risk group based on SNPs from GWASs in European-population and a similarly developed model adding SNPs from GWASs in East Asian-population. We examined whether adding East Asian-specific SNPs would improve the discrimination.
Results: Six SNPs (rs6983267, rs4779584, rs4444235, rs9929218, rs10936599, rs16969681) from 23 SNPs by European-based GWAS and five SNPs (rs704017, rs11196172, rs10774214, rs647161, rs2423279) among ten SNPs by Asian-based GWAS were selected in CRC risk prediction model. Compared with a 6-SNP-based model, an 11-SNP model including Asian GWAS-SNPs showed improved discrimination capacity in Receiver operator characteristic analysis. A model with 11 SNPs resulted in statistically significant improvement in both derivation (P = 0.0039) and replication studies (P = 0.0018) compared with six SNP model. We estimated cumulative risk of CRC by using genetic risk group based on 11 SNPs and found that the cumulative risk at age 80 is approximately 13% in the high-risk group while 6% in the low-risk group.
Conclusion: We constructed a more efficient CRC risk prediction model with 11 SNPs including newly identified East Asian-based GWAS SNPs (rs704017, rs11196172, rs10774214, rs647161, rs2423279). Risk grouping based on 11 SNPs depicted lifetime difference of CRC risk. This might be useful for effective individualized prevention for East Asian."
115,26915739,Proteomics,3.4,"In summary, we have developed a novel multiplex bead assay that after validation with a larger independent cohort of sera could be utilized in a high-throughput manner for population screening to facilitate the detection of early CRC patients.",Villar-Vazquez_42,Logistic Regression,0.71-0.868,more than 0.8,"0.9 (CRC versus healthy controls), 0.9 (CRC versus all controls), 0.9(CRC versus other cancers)","0.66 (CRC versus healthy controls), 0.9 (CR1us all controls), 0.5 (CRC versus other cancers)",,development,"A Panel Composed Of Gtf2b, Edil3, Hck, Pim1, Stk4, And P53,gender,age",in recent 10 years,2016,Europe,Spain,Colorectal Cancer,"Humoral response in cancer patients can be used for early cancer detection. By screening high-density protein microarrays with sera from colorectal cancer (CRC) patients and controls, we identified 16 tumor-associated antigens (TAAs) exhibiting high diagnostic value. This high number of TAAs requires the development of multiplex assays combining different antigens for a faster and more accurate prediction of CRC. Here, we have developed and optimized a bead-based assay using nine selected TAAs and two controls to provide a multiplex test for early CRC diagnosis. We screened a collection of 307 CRC patients' and control sera with the beads assay to identify and validate the best TAA combination for CRC detection. The multiplex bead-based assay exhibited a similar diagnostic performance to detect the humoral response in comparison to multiple ELISA analyses. After multivariate analysis, a panel composed of GTF2B, EDIL3, HCK, PIM1, STK4, and p53, together with gender and age, was identified as the best combination of TAAs for CRC diagnosis, achieving an AUC of 89.7%, with 66% sensitivity at 90.0% fixed specificity. The model was validated using bootstrapping analysis. In summary, we have developed a novel multiplex bead assay that after validation with a larger independent cohort of sera could be utilized in a high-throughput manner for population screening to facilitate the detection of early CRC patients."
116,26911814,J Am Med Inform Assoc,4.7,Our model may help to detect CRC earlier in clinical practice.,Kinar_779654,Decision Trees ( The Gradient Boosting Model And Random Forest),0.825-0.827,more than 0.8,"88% (Israeli validation set), 94% (the UK dataset)",,,development,"Age,sex,an Anemia Indicator",in recent 10 years,2016,"Asia, Europe","Israeli, UK",Colorectal Cancer,"Objective: The use of risk prediction models grows as electronic medical records become widely available. Here, we develop and validate a model to identify individuals at increased risk for colorectal cancer (CRC) by analyzing blood counts, age, and sex, then determine the model's value when used to supplement conventional screening.
Materials and methods: Primary care data were collected from a cohort of 606 403 Israelis (of whom 3135 were diagnosed with CRC) and a case control UK dataset of 5061 CRC cases and 25 613 controls. The model was developed on 80% of the Israeli dataset and validated using the remaining Israeli and UK datasets. Performance was evaluated according to the area under the curve, specificity, and odds ratio at several working points.
Results: Using blood counts obtained 3-6 months before diagnosis, the area under the curve for detecting CRC was 0.82 卤 0.01 for the Israeli validation set. The specificity was 88 卤 2% in the Israeli validation set and 94 卤 1% in the UK dataset. Detecting 50% of CRC cases, the odds ratio was 26 卤 5 and 40 卤 6, respectively, for a false-positive rate of 0.5%. Specificity for 50% detection was 87 卤 2% a year before diagnosis and 85 卤 2% for localized cancers. When used in addition to the fecal occult blood test, our model enabled more than a 2-fold increase in CRC detection.
Discussion: Comparable results in 2 unrelated populations suggest that the model should generally apply to the detection of CRC in other groups. The model's performance is superior to current iron deficiency anemia management guidelines, and may help physicians to identify individuals requiring additional clinical evaluation.
Conclusions: Our model may help to detect CRC earlier in clinical practice."
117,26637073,Eur J Cancer Prev,2.1,"We developed a risk model that incorporates a genetic risk score and established risk factors, but this model was not satisfactory in the replication study. The results in the combined study still encourage further attempts using a similar approach among individual countries.",Hosono_2768,Logistic Regression,0.717,,,,,development,"Age,smoking,daily Ethanol Consumption,dietary Folate Intake,current Body Mass Index ,regular Exercise,family History Of Crc,referral Pattern To Our Hospital,genetic Risk Score( 8q24 - Rs6983267,15q13 - Rs4779584,rs1696961,14q22 - Rs444435,16q22 - Rs9929218,3q26.2 - Rs1093599)",in recent 10 years,2016,Asia,Japan,Colorectal Cancer,"Most genome-wide association studies of colorectal cancer (CRC) carried out to date have been in populations with European ancestry, and the extent to which the identified variants contribute as predictors of CRC among Japanese populations has not been clarified. We analyzed 23 genetic variants identified in previous genome-wide association studies in a derivation case-control study with 558 cases and 1116 age-matched and sex-matched controls. Six single nucleotide polymorphisms were selected for synthesis of the genetic risk score. A dose-dependent association was observed between CRC risk and genetic risk score, which is the aggregate number of alleles in six selected variants: 8q24 - rs6983267, 15q13 - rs4779584 and rs1696961, 14q22 - rs444435, 16q22 - rs9929218, and 3q26.2 - rs1093599. The c statistic for a model that included the genetic risk score and conventional risk factors was 0.7167, versus 0.7009 with the conventional risk factors only (P=0.0013). This model was evaluated in a replication study with 547 cases and 547 age-matched and sex-matched controls, and the corresponding c statistics were 0.6356 and 0.6391 with no statistical significance. When the two studies were combined, the corresponding c statistics were 0.6132 and 0.6198 (P=0.0126). We developed a risk model that incorporates a genetic risk score and established risk factors, but this model was not satisfactory in the replication study. The results in the combined study still encourage further attempts using a similar approach among individual countries."
